"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"Fortschr. Phys.","Fortschritte der Physik. Progress of Physics","","Wiley-VCH Verlag, Berlin.","0015-8208","N","N","N"
"Forum Geom.","Forum Geometricorum. A Journal on Classical Euclidean Geometry and Related Areas","","Florida Atlantic Univ., Dep. Math. Sci., Boca Raton, FL.","1534-1178","N","N","N"
"Forum Interdiscip. Math.","Forum for Interdisciplinary Mathematics","","Springer, Cham.","2364-6748","N","N","Y"
"Forum Math.","Forum Mathematicum","","De Gruyter, Berlin.","0933-7741","N","Y","N"
"Forum Math. Pi","Forum of Mathematics. Pi","","Cambridge Univ. Press, Cambridge.","2050-5086","N","Y","N"
"Forum Math. Sigma","Forum of Mathematics. Sigma","","Cambridge Univ. Press, Cambridge.","2050-5094","N","Y","N"
"Found. Comput. Math.","Foundations of Computational Mathematics. The Journal of the Society for the Foundations of Computational Mathematics","","Springer, New York.","1615-3375","N","Y","N"
"Found. Eng. Mech.","Foundations of Engineering Mechanics","","Springer, Cham.","1612-1384","N","N","Y"
"Found. Phys.","Foundations of Physics. An International Journal Devoted to the Conceptual Bases and Fundamental Theories of Modern Physics","","Springer, New York.","0015-9018","N","N","N"
"Found. Quest. Sci.","Foundational Questions in Science","","Yale Univ. Press, New Haven, CT.","","N","N","Y"
"Found. Sci.","Foundations of Science","","Springer, Dordrecht.","1233-1821","N","N","N"
"Found. Signal. Process. Commun. Netw.","Foundations in Signal Processing, Communications and Networking","","Springer, Cham.","1863-8538","N","N","Y"
"Found. Trends Signal Process.","Foundations and Trends${}^\circledR$ in Signal Processing","","Now Publ. Inc., Hanover, MA.","1932-8346","N","N","N"
"Found. Trends Theor. Comput. Sci.","Foundations and Trends${}^\circledR$ in Theoretical Computer Science","","Now Publ. Inc., Hanover, MA.","1551-305X","N","N","N"
"Found. Undergrad. Res. Math.","Foundations for Undergraduate Research in Mathematics","","Birkhauser/Springer, Cham.","2520-1212","Y","N","Y"
"Fract. Calc. Appl. Anal.","Fractional Calculus and Applied Analysis","","De Gruyter, Berlin.","1311-0454","N","Y","N"
"Fract. Calc. Appl. Sci. Eng.","Fractional Calculus in Applied Sciences and Engineering","","De Gruyter, Berlin.","2509-7210","N","N","Y"
"Fract. Differ. Calc.","Fractional Differential Calculus","","ELEMENT, Zagreb.","1847-9677","N","Y","N"
"Fractals","Fractals. Complex Geometry, Patterns, and Scaling in Nature and Society","","World Sci. Publ., Singapore.","0218-348X","N","N","N"
"Fractals Dyn. Math. Sci. Arts Theory Appl.","Fractals and Dynamics in Mathematics, Science, and the Arts: Theory and Applications","","World Sci. Publ., Hackensack, NJ.","2382-6320","N","N","Y"
"Frank J. Fabozzi Ser.","The Frank J. Fabozzi Series","","Wiley, Hoboken, NJ.","","N","N","Y"
"Front. Appl. Dyn. Syst. Rev. Tutor.","Frontiers in Applied Dynamical Systems: Reviews and Tutorials","","Springer, Cham.","2364-4532","N","N","Y"
"Front. Biomech.","Frontiers of Biomechanics","","Springer, Tokyo.","2199-8515","N","N","Y"
"Front. Coll.","The Frontiers Collection","","Springer, Cham.","1612-3018","N","N","Y"
"Front. Math.","Frontiers in Mathematics","","Birkhauser/Springer, Cham.","","N","N","Y"
"Front. Math. China","Frontiers of Mathematics in China","","Higher Ed. Press, Beijing.","1673-3452","N","Y","N"
"Front. Probab. Stat. Sci.","Frontiers in Probability and the Statistical Sciences","","Springer, Cham.","","N","N","Y"
"Front. Res. Comput. Mech. Mater. Biol.","Frontier Research in Computation and Mechanics of Materials and Biology","","World Sci. Publ., Hackensack, NJ.","2315-4713","N","N","Y"
"Frontiers Oper. Res. Appl. Systems Anal.","Frontiers of Operational Research and Applied Systems Analysis","","Pergamon, Oxford.","","Y","N","Y"
"Fudan Xuebao Ziran Kexue Ban","","","","","Y","N","N"
"Fukuoka Univ. Sci. Rep.","Fukuoka University Science Reports","","Fukuoka Univ., Fukuoka.","0386-118X","N","N","N"
"Full Circ.","Full Circle","","Open Court, Chicago, IL.","","N","N","Y"
"Funct. Anal. Appl.","Functional Analysis and its Applications","","Springer, New York.","0016-2663","N","N","N"
"Funct. Anal. Approx. Comput.","Functional Analysis, Approximation and Computation","","Univ. Nis, Fac. Sci. Math., Nis.","1821-410X","N","Y","N"
"Funct. Approx. Comment. Math.","Uniwersytet im. Adama Mickiewicza w Poznaniu. Wydzial Matematyki i Informatyki. Functiones et Approximatio Commentarii Mathematici","","Mickiewicz Univ. Press, Poznan.","0208-6573","N","Y","N"
"Funct. Differ. Equ.","Functional Differential Equations","","Ariel Univ. Cent. Samaria, Ariel.","0793-1786","N","Y","N"
"Fund. Inform.","Fundamenta Informaticae","","IOS, Amsterdam.","0169-2968","N","Y","N"
"Fund. Math.","Fundamenta Mathematicae","","Polish Acad. Sci. Inst. Math., Warsaw.","0016-2736","N","Y","N"
"Fund. Stud. Comput. Sci.","Fundamental Studies in Computer Science","","North-Holland, Amsterdam.","","Y","N","Y"
"Fundam. Algorithms","Fundamentals of Algorithms","","SIAM, Philadelphia, PA.","","N","N","Y"
"Fundam. Appl. Nucl. Phys. Ser.","Fundamental and Applied Nuclear Physics Series","","Inst. Phys., Bristol.","","Y","N","Y"
"Fundam. Prikl. Mat.","Fundamentalnaya i Prikladnaya Matematika","","Moskov. Gos. Univ. Tsentr. Nov. Inform. Tekh., Moscow.","1560-5159","N","Y","N"
"Fundam. Theor. Phys.","Fundamental Theories of Physics","","Springer, Cham.","0168-1222","N","N","Y"
"Funkcial. Ekvac.","Funkcialaj Ekvacioj. Serio Internacia","","Math. Soc. Japan, Kobe.","0532-8721","N","Y","N"
"Funktsional. Anal. i Prilozhen.","Rossiiskaya Akademiya Nauk. Funktsionalnyi Analiz i ego Prilozheniya","","``Nauka'', Moscow.","0374-1990","N","Y","N"
"Fuzhou Daxue Xuebao Ziran Kexue Ban","","","","","Y","N","N"
"Fuzzy Inf. Eng.","Fuzzy Information and Engineering","","Elsevier, Inc., Amsterdam.","1616-8658","N","N","N"
"Fuzzy Optim. Decis. Mak.","Fuzzy Optimization and Decision Making. A Journal of Modeling and Computation Under Uncertainty","","Springer, Dordrecht.","1568-4539","N","N","N"
"Fuzzy Sets and Systems","Fuzzy Sets and Systems. An International Journal in Information Science and Engineering","","Elsevier B. V., Amsterdam.","0165-0114","N","N","N"
"Gac. R. Soc. Mat. Esp.","La Gaceta de la Real Sociedad Matematica Espanola","","R. Soc. Mat. Esp., Madrid.","1138-8927","N","N","N"
"GAKUTO Internat. Ser. Math. Sci. Appl.","GAKUTO International Series. Mathematical Sciences and Applications","","Gakkotosho, Tokyo.","","N","N","Y"
"Game Theory Appl.","Game Theory and Applications","","Nova Sci. Publ., Hauppauge, NY.","","N","N","Y"
"Games","Games","","MDPI, Basel.","2073-4336","N","N","N"
"Games Econom. Behav.","Games and Economic Behavior","","Elsevier, Inc., San Diego, CA.","0899-8256","N","N","N"
"GAMM-Mitt.","GAMM-Mitteilungen","","WILEY-VCH, Weinheim.","0936-7195","N","N","N"
"Ganit","Ganit. Journal of Bangladesh Mathematical Society","","Bangladesh Math. Soc., Dhaka.","1606-3694","N","N","N"
"Ganita","Ganita","","Bharata Ganita Parisad, Dept. Math. Astron., Lucknow Univ., Lucknow.","0046-5402","N","N","N"
"Ganita Bharati","Ganita Bharati. Bulletin of the Indian Society for History of Mathematics","","Prints Publ. Pvt., Ltd., New Delhi.","0970-0307","N","Y","N"
"Gaodeng Xuexiao Jisuan Shuxue Xuebao","","","","","Y","N","N"
"Gaz. Math.","Gazette des Mathematiciens","","Soc. Math. France, Paris.","0224-8999","N","N","N"
"Gazodinam. i Teploobmen","Gazodinamika i Teploobmen","Gas Dynamics and Heat Transfer","Leningrad. Univ., Leningrad.","","Y","N","Y"
"GEM Int. J. Geomath.","GEM. International Journal on Geomathematics","","Springer, Berlin.","1869-2672","N","N","N"
"Gen. Relativity Gravitation","General Relativity and Gravitation","","Springer, New York.","0001-7701","N","N","N"
"Gendai Sugaku","Gendai Sugaku","Modern Mathematics","Iwanami Shoten, Tokyo.","","Y","N","Y"
"Gendai Sugaku Enshu Sosho","Gendai Sugaku Enshu Sosho","Modern Mathematics Exercise Series","Iwanami Shoten, Tokyo.","","Y","N","Y"
"Genet. Evol. Comput. Ser.","Genetic and Evolutionary Computation Series","","Springer, New York.","1932-0167","N","N","Y"
"Geom. Comput.","Geometry and Computing","","Springer, Cham.","1866-6795","N","N","Y"
"Geom. Dedicata","Geometriae Dedicata","","Springer, Dordrecht.","0046-5755","N","Y","N"
"Geom. Flows","Geometric Flows","","De Gruyter Open, Warsaw.","2353-3382","N","Y","N"
"Geom. Funct. Anal.","Geometric and Functional Analysis","","Birkhauser Verlag, Basel.","1016-443X","N","Y","N"
"Geom. Imaging Comput.","Geometry, Imaging and Computing","","Int. Press, Somerville, MA.","2328-8876","N","N","N"
"Geom. Topol.","Geometry & Topology","","Math. Sci. Publ., Berkeley, CA.","1465-3060","N","Y","N"
"Geom. Topol. Monogr.","Geometry & Topology Monographs","","Geom. Topol. Publ., Coventry.","1464-8997","N","N","Y"
"Geombinatorics","Geombinatorics","","Center Excell. Math. Ed., Colorado Springs, CO.","1065-7371","N","N","N"
"Geophys. Astrophys. Fluid Dyn.","Geophysical and Astrophysical Fluid Dynamics","","Taylor & Francis, Abingdon.","0309-1929","N","N","N"
"Geophys. Monogr.","Geophysical Monograph","","Am. Geophys. Union, Washington, DC.","0065-8448","N","N","Y"
"Georgian Math. J.","Georgian Mathematical Journal","","De Gruyter, Berlin.","1072-947X","N","Y","N"
"Geosyst. Math.","Geosystems Mathematics","","Birkhauser/Springer, Cham.","2510-1544","N","N","Y"
"Gesellschaft, Recht, Wirtschaft","Gesellschaft, Recht, Wirtschaft","Society, Law, Economy","Bibliographisches Inst., Mannheim.","","Y","N","Y"
"Glas. Mat. Ser. III","Glasnik Matematicki. Serija III","","Croatian Math. Soc., Zagreb.","0017-095X","N","Y","N"
"Glasg. Math. J.","Glasgow Mathematical Journal","","Cambridge Univ. Press, Cambridge.","0017-0895","N","Y","N"
"Glob. Issues Water Policy","Global Issues in Water Policy","","Springer, Cham.","2211-0631","N","N","Y"
"Glob. J. Adv. Res. Class. Mod. Geom.","Global Journal of Advanced Research on Classical and Modern Geometries","","Glob. J. Adv. Res. Class. Mod. Geom., Cluj-Napoca.","2284-5569","N","N","N"
"God. Sofii. Univ. ``Sv. Kliment Okhridski." Fac. Mat. Inform.","Godishnik na Sofiiskiya Universitet ``Sv. Kliment Okhridski''. Fakultet po Matematika i Informatika. Annual of Sofia University ``St. Kliment Ohridski". Faculty of Mathematics and Informatics","","Univ. Izdat. ``Sv. Kliment Okhridski'', Sofia.","0205-0808","N","N","N"
"God. Zb. Inst. Mat. Prir.-Mat. Fak. Univ. Kiril Metodij Skopje","Godishen Zbornik na Institutot za Matematika. Prirodno-Matematichki. Fakultet Universitet ``Sv. Kiril i Metodij''. Skopje. Annuaire de l'Institut des Mathematiques. Faculte des Sciences de l'Universite ``Sts. Kiril et Metodij''. Skopje","","Univ. ``Kiril et Metodij'', Skopje.","0351-7441","N","N","N"
"Gongcheng Shuxue Xuebao","Gongcheng Shuxue Xuebao. Chinese Journal of Engineering Mathematics","","Chinese J. Engrg. Math., Editor. Dept., Xi'an.","1005-3085","N","N","N"
"Grad. J. Math.","The Graduate Journal of Mathematics","","Mediterr. Inst. Math. Sci., Tunis.","1737-0299","Y","N","N"
"Grad. Stud. Math.","Graduate Studies in Mathematics","","Amer. Math. Soc., Providence, RI.","1065-7339","N","N","Y"
"Grad. Texts in Math.","Graduate Texts in Mathematics","","Springer, Cham.","0072-5285","N","N","Y"
"Grad. Texts Phys.","Graduate Texts in Physics","","Springer, Cham.","1868-4513","N","N","Y"
"Grands Noms Sci. Tech.","Les Grands Noms de la Science et de la Technique","Great Names in Science and Technology","``Mir'', Moscow.","","Y","N","Y"
"Graph. Gems Ser.","Graphics Gems Series","","Academic Press, Boston, MA.","","Y","N","Y"
"Graph. Models","Graphical Models","","Elsevier B. V., Amsterdam.","1524-0703","N","N","N"
"Graphs Combin.","Graphs and Combinatorics","","Springer, Tokyo.","0911-0119","N","Y","N"
"Gravit. Cosmol.","Gravitation and Cosmology","","Pleiades Publishing, Ltd., Road Town.","0202-2893","N","N","N"
"Grazer Math. Ber.","Grazer Mathematische Berichte","Graz Mathematical Reports","Institut fur Mathematik, Karl-Franzens-Universitat Graz, Graz.","1016-7692","N","N","Y"
"Green Energy Technol.","Green Energy and Technology","","Springer, Heidelberg.","1865-3529","N","N","Y"
"Grenoble Sci.","Grenoble Sciences","","Springer, Cham.","","N","N","Y"
"Grenoble Sci.","Grenoble Sciences","","EDP Sci., Les Ulis.","","Y","N","Y"
"Griffin's Statist. Monogr. Ser.","Griffin's Statistical Monograph Series","","Macmillan, New York.","","Y","N","Y"
"Groups Complex. Cryptol.","Groups. Complexity. Cryptology","","De Gruyter, Berlin.","1867-1144","N","Y","N"
"Groups Geom. Dyn.","Groups, Geometry, and Dynamics","","Eur. Math. Soc., Zurich.","1661-7207","N","Y","N"
"Grundkurs Phys.","Grundkurs Physik","Fundamentals of Physics","Steinkopff, Darmstadt.","","Y","N","Y"
"Grundlagen Math. Inform.","Grundlagen der Mathematik und Informatik","Foundations of Mathematics and Information Science","Rheinisch-Westfalische Tech. Hochschule, Aachen.","","Y","N","Y"
"Grundlehren Math. Wiss.","Grundlehren der Mathematischen Wissenschaften","Fundamental Principles of Mathematical Sciences","Springer, Cham.","0072-7830","N","N","Y"
"Gulf J. Math.","Gulf Journal of Mathematics","","Canad. Univ. Dubai, Dubai.","2309-4966","N","N","N"
"Hacet. J. Math. Stat.","Hacettepe Journal of Mathematics and Statistics","","Hacettepe Univ., Ankara.","1303-5010","N","N","N"
"Handb. Graph Gramm. Comput. Graph Transform.","Handbook of Graph Grammars and Computing by Graph Transformation","","World Sci. Publ., River Edge, NJ.","","Y","N","Y"
"Handb. Hist. Log.","Handbook of the History of Logic","","Elsevier/North-Holland, Amsterdam.","1874-5857","N","N","Y"
"Handb. Numer. Anal.","Handbook of Numerical Analysis","","Elsevier/North-Holland, Amsterdam.","1570-8659","N","N","Y"
"Handb. Philos. Log.","Handbook of Philosophical Logic","","Springer, Dordrecht.","","N","N","Y"
"Handb. Philos. Sci.","Handbook of the Philosophy of Science","","Elsevier/North-Holland, Amsterdam.","0031-8019","N","N","Y"
"Handbook Internat. Doc. Info.","Handbook of International Documentation and Information","","Saur, Munich.","0939-1959","Y","N","Y"
"Handbook of Statist.","Handbook of Statistics","","Elsevier/North-Holland, Amsterdam.","0169-7161","N","N","Y"
"Handbooks in Econom.","Handbooks in Economics","","Elsevier/North-Holland, Amsterdam.","0169-7218","N","N","Y"
"Handbuch Phys.","Handbuch der Physik","Encyclopedia of Physics","Springer, Berlin.","","Y","N","Y"
"Harbin Gongye Daxue Xuebao","","","","","Y","N","N"
"Hardy-Ramanujan J.","Hardy-Ramanujan Journal","","K. Ramachandra, Hardy-Ramanujan Soc., Bangalore.","","N","Y","N"
"Harper Torchbooks","Harper Torchbooks","","Basic Books, New York.","","Y","N","Y"
"Harv. Univ. Cent. Math. Sci. Appl. Ser. Math.","Harvard University Center of Mathematical Sciences and Applications (CMSA) Series in Mathematics","","Int. Press, Somerville, MA.","","Y","N","Y"
"HBA Lect. Notes Math.","HBA Lecture Notes in Mathematics","","Springer, Singapore.","2509-8071","Y","N","Y"
"Health Inf. Sci.","Health Information Science","","Springer, Cham.","2366-0988","Y","N","Y"
"Heat Mass Transf.","Heat and Mass Transfer","","Springer, Heidelberg.","1860-4846","N","N","Y"
"Heat Transfer: Soviet Rev.","Heat Transfer: Soviet Reviews","","Hemisphere, New York.","","Y","N","Y"
"Hefei Gongye Daxue Xuebao Ziran Kexue Ban","","","","","Y","N","N"
"Henry Holt Ref. Book","A Henry Holt Reference Book","","Holt, New York.","","Y","N","Y"
"Herit. Eur. Math.","Heritage of European Mathematics","","Eur. Math. Soc., Zurich.","2523-5214","N","N","Y"
"Hildesheimer Inform.-Ber.","Hildesheimer Informatik-Bericht","Hildesheim Report on Information Science","Univ. Hildesheim, Hildesheim.","0170-8120","Y","N","Y"
"Hindu Astronom. Math. Text Ser.","Hindu Astronomical and Mathematical Text Series","","Lucknow Univ., Lucknow.","","Y","N","Y"
"Hiroshima Math. J.","Hiroshima Mathematical Journal","","Hiroshima Univ. Grad. Sch. Sci., Dep. Math., Hiroshima.","0018-2079","N","Y","N"
"Hist. Anal. Philos.","History of Analytic Philosophy","","Palgrave Macmillan, New York.","","N","N","Y"
"Hist. Comput.","History of Computing","","Springer, London.","2190-6831","N","N","Y"
"Hist. Inst. Sci.","Histoires des Institutions Scientifiques","History of Scientific Institutions","Presses Univ. Nancy/Ed. Univ. Lorraine, Nancy.","","Y","N","Y"
"Hist. Math.","History of Mathematics","","Amer. Math. Soc., Providence, RI.","0899-2428","N","N","Y"
"Hist. Math. Educ.","History of Mathematics Education","","Springer, Cham.","2509-9736","N","N","Y"
"Hist. Mech. Mach. Sci.","History of Mechanism and Machine Science","","Springer, Cham.","1875-3442","N","N","Y"
"Hist. Philos. Logic","History and Philosophy of Logic","","Taylor & Francis, Abingdon.","0144-5340","N","N","N"
"Hist. Philos. Sci.","History and Philosophy of Science---Heresy, Crossroads, and Intersections","","Peter Lang, New York.","2376-6336","N","N","Y"
"Hist. Philos. Sci. (Paris)","Histoire et Philosophie des Sciences (Paris)","History and Philosophy of Sciences (Paris)","Classiques Garnier, Paris.","2117-3508","N","N","Y"
"Hist. Sci. (Paris)","Histoire des Sciences (Paris)","History of Sciences (Paris)","L'Harmattan, Paris.","","N","N","Y"
"Hist. Sci. Tech. Reprint Ser.","History of Science and Technology Reprint Series","","Iowa State Univ. Press, Ames, IA.","","Y","N","Y"
"Historia Math.","Historia Mathematica","","Elsevier B. V., Amsterdam.","0315-0860","N","Y","N"
"Hochschuldidakt. Material.","Hochschuldidaktische Materialien","University Didactic Materials","Arbeitsgemeinschaft Hochschuldidaktik, Hamburg.","","Y","N","Y"
"Hokkaido Math. J.","Hokkaido Mathematical Journal","","Hokkaido Univ., Sapporo.","0385-4035","N","Y","N"
"Homology Homotopy Appl.","Homology, Homotopy and Applications","","Int. Press, Somerville, MA.","1532-0073","N","Y","N"
